image,pred_count,suspect_count,status,signal,confidence,gt_count,is_correct,is_multi_gt,is_multi_pred,read_ms,preprocess_ms,infer_ms,post_ms,signal_ms,total_ms,vis_path,error_type,reasons
Hikrobot MV-PD010003-12C-8C (DA8401808)_214814708_1273_4815121_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,72.148,0.0,46.441,0.496,0.001,119.094,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214817406_1274_4817782_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,81.756,0.0,52.429,0.496,0.002,134.691,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214825546_1276_4826057_Panorama.jpg,0,2,UNKNOWN,REVIEW,0.30249,1,0,0,0,88.009,0.0,88.236,0.498,0.001,176.753,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214828307_1277_4828783_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,82.048,0.0,53.166,0.841,0.002,136.07,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214846408_1282_4847012_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,92.999,0.0,55.209,0.913,0.002,149.136,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214847747_1283_4848265_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,85.85,0.0,48.817,0.459,0.001,135.135,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214857060_1284_4857623_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,93.416,0.0,49.419,0.302,0.001,143.145,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214858789_1285_4859383_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.319,0.0,48.127,0.512,0.001,124.968,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214900890_1286_4901412_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.348877,1,0,0,0,74.539,0.0,69.427,0.527,0.002,144.502,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214907280_1287_4908199_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,3,0,1,0,63.114,0.0,52.809,0.444,0.001,116.374,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214917240_1292_4917880_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,66.537,0.0,43.971,0.437,0.001,110.955,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214919440_1293_4919920_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,103.291,0.0,48.688,0.359,0.001,152.344,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214921460_1294_4922030_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,84.975,0.0,53.035,0.811,0.002,138.837,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214923040_1295_4923580_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,92.479,0.0,50.428,0.445,0.001,143.362,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214928970_1297_4929654_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.275146,1,0,0,0,84.451,0.0,70.92,0.453,0.002,155.835,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214932830_1298_4933461_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,65.529,0.0,51.326,0.544,0.002,117.409,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214935371_1299_4935969_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,71.003,0.0,49.898,0.417,0.001,121.325,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214938661_1300_4939086_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.947,0.0,50.103,0.528,0.001,127.587,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214939681_1301_4940251_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,77.034,0.0,53.746,0.431,0.001,131.217,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214942692_1303_4943290_Panorama.jpg,0,2,UNKNOWN,REVIEW,0.478516,1,0,0,0,89.465,0.0,89.335,0.487,0.002,179.298,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214945381_1305_4945889_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,71.668,0.0,50.619,0.483,0.001,122.781,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_214952170_1308_4952702_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.291016,1,0,0,0,98.528,0.0,70.118,0.797,0.002,169.458,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_215002973_1313_5003514_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,73.819,0.0,51.395,0.448,0.001,125.672,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_215009432_1315_5010078_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,75.515,0.0,54.804,0.756,0.002,131.089,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_220022520_1225_0022923_Panorama.jpg,1,0,SINGLE,PASS,0.834473,1,1,0,0,74.787,0.001,79.053,0.42,0.001,154.297,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_220027901_1226_0028242_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,77.882,0.0,44.343,0.451,0.001,122.684,,unknown,no valid parcel candidate found
