image,pred_count,suspect_count,status,signal,confidence,gt_count,is_correct,is_multi_gt,is_multi_pred,read_ms,preprocess_ms,infer_ms,post_ms,signal_ms,total_ms,vis_path,error_type,reasons
Hikrobot MV-PD010003-12C-8C (DA8401808)_021830572_128_1830918_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,92.339,0.0,56.929,0.561,0.002,149.839,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021843414_133_1843814_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,102.748,0.0,55.338,0.309,0.001,158.402,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021904705_137_1905317_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.412842,1,0,0,0,92.99,0.0,70.954,0.652,0.002,164.608,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021930850_151_1931194_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.268799,1,0,0,0,105.413,0.0,72.767,0.493,0.001,178.683,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022039041_181_2039451_Panorama.jpg,0,2,UNKNOWN,REVIEW,0.470703,1,0,0,0,94.661,0.0,101.522,0.431,0.001,196.622,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022040171_182_2040630_Panorama.jpg,1,0,SINGLE,PASS,0.588867,1,1,0,0,87.668,0.0,73.323,0.502,0.002,161.504,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_022042201_183_2042547_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,88.68,0.0,58.876,0.439,0.001,148.007,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022044669_184_2045026_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,96.134,0.0,56.593,0.467,0.001,153.204,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022050021_186_2050426_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.336426,1,0,0,0,110.02,0.0,76.738,0.377,0.001,187.144,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022050783_187_2051231_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,97.912,0.0,55.766,0.438,0.001,154.127,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022056482_193_2057025_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.262939,1,0,0,0,103.561,0.0,77.114,0.432,0.001,181.116,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022100192_195_2100568_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.521484,2,0,1,0,80.787,0.0,77.613,0.465,0.002,158.875,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022104391_199_2104807_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,98.048,0.0,55.061,0.455,0.001,153.573,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022111583_205_2112076_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.462891,1,0,0,0,104.354,0.0,73.444,0.549,0.002,178.359,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022123212_210_2123927_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,87.214,0.0,54.23,0.524,0.002,141.98,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022125744_211_2126151_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.496094,1,0,0,0,114.051,0.0,82.424,0.499,0.002,196.985,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022126714_212_2127182_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.310791,1,0,0,0,110.106,0.0,83.693,0.387,0.002,194.195,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022127414_213_2127724_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,86.614,0.0,58.857,0.573,0.002,146.055,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022127766_214_2128088_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,76.889,0.0,52.953,0.543,0.001,130.397,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022128935_215_2129293_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,84.948,0.0,51.571,0.428,0.001,136.958,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022131762_218_2132071_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,88.932,0.0,56.2,0.503,0.001,145.642,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022134523_221_2134950_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,82.573,0.0,53.885,0.326,0.001,136.792,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022146475_232_2146897_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,83.863,0.0,53.834,0.363,0.001,138.069,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022159956_239_2200318_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,87.877,0.0,60.44,0.623,0.002,148.952,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022203615_242_2204055_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,97.111,0.0,55.531,0.423,0.001,153.076,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022204565_243_2205130_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,75.603,0.0,57.832,0.44,0.001,133.885,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022241007_259_2241791_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.40918,2,0,1,0,75.338,0.0,75.432,0.474,0.001,151.25,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022307248_272_2307843_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,97.725,0.0,55.003,0.348,0.001,153.084,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022311849_277_2312445_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,97.009,0.0,59.061,0.381,0.001,156.461,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022321208_283_2321860_Panorama.jpg,0,2,UNKNOWN,REVIEW,0.368408,1,0,0,0,94.546,0.0,108.939,0.49,0.002,203.986,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022403261_305_2403752_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,79.417,0.0,51.754,0.445,0.001,131.625,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022407362_306_2407781_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,105.03,0.0,55.299,0.345,0.0,160.684,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022443113_322_2443490_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.041,0.0,52.772,0.29,0.001,157.11,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022450014_327_2450428_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,75.072,0.0,58.692,0.701,0.002,134.482,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022452805_328_2453189_Panorama.jpg,1,0,SINGLE,PASS,0.571777,1,1,0,0,102.454,0.0,76.356,0.527,0.002,179.348,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_022511046_338_2511610_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,109.873,0.0,56.188,0.593,0.002,166.666,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022519316_341_2519601_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,90.819,0.0,56.671,0.484,0.001,147.983,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022524456_342_2525082_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.344971,1,0,0,0,82.66,0.0,80.363,0.466,0.002,163.5,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022535405_348_2535769_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.131,0.0,59.296,0.402,0.001,163.838,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022536066_349_2536695_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,100.153,0.0,54.699,0.395,0.001,155.254,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022538747_351_2539375_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,80.109,0.0,54.629,0.699,0.001,135.446,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022542136_353_2542505_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,73.352,0.0,49.571,0.686,0.001,123.62,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022604428_366_2604862_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.324219,1,0,0,0,109.302,0.0,77.026,0.529,0.002,186.867,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022614658_369_2615112_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.383301,1,0,0,0,94.615,0.0,76.044,0.36,0.001,171.027,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022632520_379_2633081_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.297607,1,0,0,0,71.185,0.0,79.266,0.509,0.002,150.969,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022634480_380_2635133_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,101.975,0.0,52.647,0.404,0.001,155.034,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022644622_385_2645223_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,101.639,0.0,50.114,0.493,0.001,152.255,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022645729_386_2646222_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,123.069,0.0,53.61,0.483,0.001,177.172,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022647112_387_2647692_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,95.289,0.0,54.558,0.357,0.001,150.21,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022702082_400_2702445_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,89.8,0.0,55.15,0.497,0.001,145.458,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022705611_403_2706183_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.357422,1,0,0,0,94.229,0.0,79.773,0.536,0.002,174.547,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022709432_406_2710063_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,80.329,0.0,53.237,0.404,0.001,133.977,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022716892_410_2717524_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,81.28,0.0,48.857,0.475,0.001,130.623,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022719711_413_2720233_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,92.974,0.0,52.704,0.449,0.001,146.138,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022722074_415_2722529_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,101.339,0.0,57.931,0.449,0.002,159.73,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022724461_417_2725027_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.364746,1,0,0,0,104.499,0.0,82.041,0.436,0.001,186.985,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022725503_418_2725971_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,71.195,0.0,48.244,0.709,0.002,120.161,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022733663_425_2734043_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.334717,1,0,0,0,103.857,0.0,86.526,0.553,0.002,190.947,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022735834_426_2736186_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,87.969,0.0,59.888,0.51,0.001,148.378,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022740135_430_2740658_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,94.859,0.0,59.388,0.401,0.001,154.659,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022746206_435_2746875_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,77.99,0.0,55.47,0.413,0.001,133.884,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022747573_436_2748032_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.29248,1,0,0,0,112.164,0.0,74.326,0.41,0.002,186.909,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022751832_439_2752138_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,75.384,0.0,56.674,0.367,0.001,132.433,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022755483_443_2755925_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.490479,1,0,0,0,78.645,0.0,76.665,0.439,0.001,155.757,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022756886_444_2757562_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.657,0.0,53.503,0.469,0.001,158.638,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022800204_447_2800862_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,75.622,0.0,58.79,0.4,0.001,134.821,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022819183_462_2819750_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,85.623,0.0,51.45,0.645,0.002,137.73,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022822224_464_2822797_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.324219,1,0,0,0,76.863,0.0,75.474,0.555,0.002,152.904,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022830995_472_2831666_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,99.16,0.0,55.198,0.485,0.001,154.853,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022835426_476_2835818_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,87.685,0.0,53.542,0.472,0.001,141.71,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_022840805_478_2841379_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.554,0.0,56.707,0.711,0.002,161.989,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023019424_536_3019841_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.37207,1,0,0,0,99.944,0.0,79.534,0.333,0.001,179.819,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023101640_554_3102095_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,83.626,0.0,55.35,0.395,0.001,139.379,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023101640_554_3102873_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.573,0.0,61.926,0.37,0.001,166.879,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023104289_555_3104697_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,74.808,0.0,55.578,0.473,0.001,130.869,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023234678_594_3234973_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.490479,1,0,0,0,94.622,0.0,80.822,0.543,0.002,175.999,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023240957_597_3241348_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,75.189,0.0,57.193,0.475,0.001,132.867,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023327204_614_3327715_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,117.441,0.0,56.547,0.47,0.001,174.468,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023330444_616_3331052_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,122.122,0.0,56.664,0.358,0.001,179.154,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023406577_639_3406954_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.261,0.0,58.767,0.445,0.001,135.485,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023411677_645_3412216_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,105.318,0.0,58.098,0.519,0.002,163.945,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023750474_732_3751114_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,91.962,0.0,54.822,0.509,0.001,147.301,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023751553_733_3752010_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,105.203,0.0,57.702,0.403,0.001,163.316,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023813565_743_3814126_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,86.569,0.0,53.913,0.448,0.001,140.94,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_023932539_758_3933091_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,94.338,0.0,54.152,0.474,0.001,148.975,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024031373_770_4031865_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,86.836,0.0,47.717,0.47,0.001,135.031,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024101593_779_4101981_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,97.081,0.0,55.076,0.437,0.001,152.605,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024150025_795_4150360_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.300781,1,0,0,0,97.484,0.0,72.403,0.512,0.002,170.41,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024152106_796_4152384_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,86.85,0.0,51.715,0.535,0.001,139.11,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024154938_797_4155330_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,81.117,0.0,54.178,0.427,0.001,135.73,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024157868_798_4158476_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.11,0.0,56.304,0.475,0.001,160.898,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024250689_819_4251233_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,104.32,0.0,56.322,0.426,0.001,161.078,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024417734_865_4418262_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,98.582,0.0,63.201,0.517,0.001,162.309,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024428644_872_4429199_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,112.933,0.0,57.054,0.464,0.002,170.461,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024432404_873_4432684_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,99.787,0.0,58.737,0.437,0.001,158.97,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024435507_875_4435937_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,79.695,0.0,52.782,0.44,0.001,132.924,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024438255_876_4438556_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,82.4,0.0,52.796,0.444,0.001,135.65,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024440645_877_4441038_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,124.522,0.0,49.241,0.478,0.001,174.251,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024448977_883_4449456_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,92.855,0.0,55.194,0.527,0.001,148.586,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024505058_893_4505638_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,95.017,0.0,53.056,0.405,0.001,148.488,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024511788_899_4512104_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,94.468,0.0,53.855,0.355,0.001,148.685,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024522768_906_4523394_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,93.749,0.0,54.692,0.469,0.001,148.918,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024524108_907_4524697_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,73.154,0.0,50.032,0.502,0.001,123.697,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024527189_908_4527512_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,88.826,0.0,53.697,0.47,0.001,143.005,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024543830_915_4544437_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,107.558,0.0,54.628,0.449,0.002,162.646,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024545080_916_4545540_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.252441,1,0,0,0,98.159,0.0,81.911,0.438,0.001,180.516,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024546700_917_4547364_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.418701,1,0,0,0,70.764,0.0,69.49,0.6,0.002,140.867,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024549359_919_4549734_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,74.801,0.0,53.824,0.453,0.001,129.087,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024557732_922_4558130_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.515625,1,0,0,0,83.315,0.0,79.784,0.506,0.001,163.614,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024604241_925_4604664_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.27124,1,0,0,0,78.427,0.0,76.968,0.581,0.002,155.986,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024714005_935_4714440_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,78.444,0.0,56.121,0.342,0.001,134.914,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024722376_939_4722890_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.399902,1,0,0,0,81.64,0.0,71.207,0.491,0.001,153.346,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024730376_943_4730952_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,71.249,0.0,52.198,0.452,0.001,123.906,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024733575_946_4734245_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,96.133,0.0,54.602,0.499,0.001,151.245,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024741477_952_4741888_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,92.935,0.0,52.815,0.387,0.001,146.144,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024745538_955_4746005_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,73.333,0.0,51.768,0.544,0.001,125.655,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024748656_957_4749004_Panorama.jpg,1,0,SINGLE,PASS,0.914062,1,1,0,0,85.548,0.0,80.265,0.706,0.002,166.534,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_024749557_958_4750147_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.275146,1,0,0,0,101.106,0.0,77.184,0.631,0.002,178.937,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_024753497_961_4753969_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,103.17,0.0,55.155,0.712,0.002,159.049,,unknown,no valid parcel candidate found
